X,Y,OBJECTID,TREE_ID,DATE_PLANTED,SUBURB,BOTANICAL_NAME,COMMON_NAME,FAMILY,TREE_HEIGHT,RARE_SPECIES,HISTORIC_SIGNIFICANCE,COMMUNITY_SIGNIFICANCE,SIGNIFICANT_GROUP,RETIRED
12896308.7212,-3758141.1379,12488,19305,2019/05/10 03:19:28+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896301.6621,-3758153.7723,12489,19306,2019/05/10 03:19:45+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896383.3753,-3758095.2499,12490,19307,2019/05/10 03:21:45+00,PERTH,Washingtonia filifera,Californian Petticoat Palm,Arecaceae,,No,No,No,No,
12896377.4231,-3758082.1926,12491,19308,2019/05/10 03:24:06+00,PERTH,Eucalyptus camaldulensis,River Red Gum,Myrtaceae,,No,No,No,No,
12896513.1578,-3757965.834,12492,19309,2019/05/10 03:24:06+00,PERTH,Eucalyptus polyanthemos,Red Box,Myrtaceae,,No,No,No,No,
12896519.5061,-3757957.9374,12493,19310,2019/05/10 03:19:45+00,PERTH,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896525.3017,-3757949.0174,12494,19311,2019/05/10 03:22:48+00,PERTH,Washingtonia filifera,Californian Petticoat Palm,Arecaceae,,No,No,No,No,
12896533.9655,-3757950.8612,12495,19312,2019/05/10 03:19:45+00,PERTH,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896532.3417,-3757954.7135,12496,19313,2019/05/10 03:22:22+00,PERTH,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896490.5496,-3757946.209,12497,19314,2019/05/10 03:19:28+00,PERTH,Corymbia maculata,Spotted Gum,Myrtaceae,,No,No,No,No,
12896503.3957,-3757942.9142,12498,19315,2019/05/10 03:21:14+00,PERTH,Eucalyptus polyanthemos,Red Box,Myrtaceae,,No,No,No,No,
12896515.6559,-3757936.2287,12499,19316,2019/05/10 03:24:06+00,PERTH,Callistemon 'Kings Park Special',Bottlebrush,Myrtaceae,,No,No,No,No,
12896526.5204,-3757934.7824,12500,19317,2019/05/10 03:20:21+00,PERTH,Eucalyptus polyanthemos,Red Box,Myrtaceae,,No,No,No,No,
12896543.4952,-3757930.502,12501,19318,2019/05/10 03:20:21+00,PERTH,Eucalyptus polyanthemos,Red Box,Myrtaceae,,No,No,No,No,
12896218.174,-3758240.4289,12502,19350,2019/05/10 03:20:51+00,Perth,Melaleuca quinquenervia,Broad Leaved Paperbark,Myrtaceae,,No,No,No,No,
12896211.8013,-3758247.8518,12503,19351,2019/05/10 03:19:28+00,Perth,Melaleuca preissiana,Stout Paperbark,Myrtaceae,,No,No,No,No,
12896209.5157,-3758257.3184,12504,19352,2019/05/10 03:23:25+00,Perth,Melaleuca preissiana,Stout Paperbark,Myrtaceae,,No,No,No,No,
12896201.9601,-3758263.6162,12505,19353,2019/05/10 03:21:14+00,Perth,Melaleuca preissiana,Stout Paperbark,Myrtaceae,,No,No,No,No,
12896188.3262,-3758278.8904,12506,19354,2019/05/10 03:19:45+00,Perth,Melaleuca preissiana,Stout Paperbark,Myrtaceae,,No,No,No,No,
12896179.5124,-3758291.1866,12507,19355,2019/05/10 03:20:38+00,Perth,Melaleuca quinquenervia,Broad Leaved Paperbark,Myrtaceae,,No,No,No,No,
12896164.8198,-3758298.2247,12508,19356,2019/05/10 03:20:38+00,Perth,Melaleuca quinquenervia,Broad Leaved Paperbark,Myrtaceae,,No,No,No,No,
12896166.3506,-3758301.3179,12509,19357,2019/05/10 03:23:25+00,Perth,Casuarina obesa,Swamp Sheoak,Casuarinaceae,,No,No,No,No,
12896153.1966,-3758311.6268,12510,19358,2019/05/10 03:19:28+00,Perth,Casuarina obesa,Swamp Sheoak,Casuarinaceae,,No,No,No,No,
12896150.0002,-3758305.2968,12511,19359,2019/05/10 03:20:21+00,Perth,Melaleuca quinquenervia,Broad Leaved Paperbark,Myrtaceae,,No,No,No,No,
12896145.5549,-3758316.894,12512,19360,2019/05/10 03:19:28+00,Perth,Casuarina obesa,Swamp Sheoak,Casuarinaceae,,No,No,No,No,
12896136.034,-3758317.9993,12513,19361,2019/05/10 03:20:38+00,Perth,Casuarina obesa,Swamp Sheoak,Casuarinaceae,,No,No,No,No,
12896126.4328,-3758314.7605,12514,19362,2019/05/10 03:22:22+00,Perth,Melaleuca rhaphiophylla,Swamp Paperbark,Myrtaceae,,No,No,No,No,
12896147.5244,-3758287.7675,12515,19363,2019/05/10 03:21:14+00,Perth,Casuarina obesa,Swamp Sheoak,Casuarinaceae,,No,No,No,No,
12896151.0763,-3758290.8114,12516,19364,2019/05/10 03:22:48+00,Perth,Phoenix canariensis,Canary Island Date Palm,Arecaceae,,No,No,No,No,
12896148.7404,-3758281.1653,12517,19365,2019/05/10 03:19:28+00,Perth,Melaleuca teretifolia,Marsh Honey Myrtle,Myrtaceae,,No,No,No,No,
12896157.3695,-3758281.7309,12518,19366,2019/05/10 03:21:58+00,Perth,Melaleuca quinquenervia,Broad Leaved Paperbark,Myrtaceae,,No,No,No,No,
12896155.3345,-3758266.6087,12519,19367,2019/05/10 03:21:14+00,Perth,Melaleuca quinquenervia,Broad Leaved Paperbark,Myrtaceae,,No,No,No,No,
12896161.9414,-3758259.082,12520,19368,2019/05/10 03:24:19+00,Perth,Eucalyptus rudis,Flooded Gum,Myrtaceae,,No,No,No,No,
